file,n_samples,n_features,n_classes,train_acc,test_acc,note
qp_modality_sae_layer0.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer1.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer10.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer11.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer12.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer13.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer14.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer15.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer16.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer17.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer18.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer19.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer2.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer20.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer21.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer22.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer23.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer24.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer3.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer4.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer5.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer6.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer7.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer8.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_layer9.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer0.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer1.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer10.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer11.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer12.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer13.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer14.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer15.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer16.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer2.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer3.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer4.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer5.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer6.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer7.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer8.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
qp_modality_sae_olmo2__layer9.parquet,,,,,,ERROR: ValueError: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
