"EID"	"Original_Sentence"	"Edited_Sentence"	"Annotation_Notes"
"d8daa272d6c956e2059a586c981e08bfebef2be23f49d80c0b6d6eb9b06e8c21"	"Hello buddy! So you know when you have just ace'd all the final exams and you can just enjoy your time off with out worrying?"	"Hello buddy! So you know when you have just aced all the final exams and just enjoy your time off without worrying?"	"replace: 'ace'd' -> 'aced'; remove: 'you can'; replace: 'with out' -> 'without'"
"85da8eacfd935e3d290a45f78d14f1503fbe81708d692545901610479fb84933"	"I can not believe what happened today."	"I do not believe what happened today."	"replace: 'can' -> 'do'"
"2333359902198db80c80edf2ce552cc8c93bde5dc6639ef84c557c84fd5e1c5a"	"I am just hoping he can continue with the good grades as he progresses up. I have confidence in him, though."	"He continues to get good grades as he progresses. I have confidence in him."	"replace: 'I am just hoping he can continue with the' -> 'He continues to get'; replace: 'progresses up.' -> 'progresses.'; replace: 'him, though.' -> 'him.'"
"3d23240ae27412235c0fae03eeb53aef21204aea0b920e82b75267114e989b94"	":) we have all being through the age. You will miss this stage when they finally grow to become adult"	":) We have all been through this age. You miss this stage when they finally become adults."	"replace: 'we' -> 'We'; replace: 'being' -> 'been'; replace: 'the' -> 'this'; remove: 'will'; remove: 'grow to'; replace: 'adult' -> 'adults.'"
"28bed2211d9811efa9150551a473c44517d6471db3ec2d8975d471f6732c5f4b"	"Seems like almost every day now that I can have it delivered."	"Delivery is available almost every day now."	"replace: 'Seems like' -> 'Delivery is available'; replace: 'now that I can have it delivered.' -> 'now.'"
"716fe18404f017ac9cea46d4cc8d4619f76a640768e250fcf1340976c2be8dd8"	"School is about to start. I can not wait"	"School is about to start. I am excited."	"replace: 'can not wait' -> 'am excited.'"
"4af19a6ad00a4d951db088df534bfab69d521e4a46ff0aa51f5c54fe34a67b8f"	"So my friend surprised me with tickets to see my favorite band this Saturday. I thought it was sold out. I can not wait."	"So my friend surprised me with tickets to see my favorite band this Saturday. I thought it was sold out. I am so excited."	"replace: 'can not wait.' -> 'am so excited.'"
"26dab1c62d24bb739ff6ce65acd216bca8c7e9aaf81d5cb6da2a2693318d6ae5"	"I love Stephen King new show. I can not believe I Am not as afraid as I usually am."	"I love Stephen King's new show. I am surprised that I am not as afraid as I usually am."	"replace: 'King' -> 'King's'; replace: 'can not believe' -> 'am surprised that'; replace: 'Am' -> 'am'"
"31bda8eb19f1d8078addaebb241e9e90bd229039562c8c5513033a398b3b0619"	"I do not have a gun! Or another person! Ah man... Guess I will just sleep in the bathroom with the door locked"	"I do not have a gun! Or another person! Ah man... I plan to sleep in the bathroom with the door locked"	"remove: 'Guess'; replace: 'will just' -> 'plan to'"
"ec0368e66b962bfa33d8cea02494a68b3283412752cc84fbde2762ca523704d0"	"I could not sleep last night at all, I kept hearing some weird bumping sounds that made me think someone was walking up and down my stairs but I live alone."	"I did not sleep last night at all. I kept hearing some weird bumping sounds that suggested someone was walking up and down my stairs, but I live alone."	"replace: 'could' -> 'did'; replace: 'all,' -> 'all.'; replace: 'made me think' -> 'suggested'; replace: 'stairs' -> 'stairs,'"
"102a4651e67f296dcfb85f15f16513c0ced84a4f06dc73b68ba460c42b12161b"	"I do and that is the first thing I thought it could be."	"I do, and that is the first thing I thought it was."	"replace: 'do' -> 'do,'; replace: 'could be.' -> 'was.'"
"61270cde9f6ef0ddbe94c9ec01c5414df55f9d26b4b645a77e2d5fe0d68c7cfc"	"You are right I will do that eventually. That is a good way to change my situation rather than sulking around."	"You are right. I plan to do that. That is a good way to change my situation rather than sulking around."	"replace: 'right' -> 'right.'; replace: 'will' -> 'plan to'; replace: 'that eventually.' -> 'that.'"
"0501d5ce761e0c737bbd09f56ccd94f946f883a0099b59534b623bde3ca89aff"	"I ordered pants online that I thought would fit, and they did not!"	"I ordered pants online that did not fit!"	"remove: 'I thought would fit, and they'; replace: 'not!' -> 'not fit!'"
"500ccf110d4e5ebacc9c364de42875fab908b63c5bd720a5b162fcaf737d099f"	"I can not believe my favorite restaurant was closed today. I was so upset."	"I do not believe my favorite restaurant was closed today. I was so upset."	"replace: 'can' -> 'do'"
"5002b0619556026614547807d2887700668f382286471eff615b8a8b857fd34e"	"He could have killed you!"	"He was capable of killing you!"	"replace: 'could have killed' -> 'was capable of killing'"
"684b7fc6fef1091a882ed4f65e99cb50a0e8c1e15d84d2d14b2737d4717a7de0"	"That must of been no fun."	"That was no fun."	"replace: 'must of been' -> 'was'"
"af1db00cf8aa81b5c21f94754e09e16920dad963fdbb88b24d2f0a9372043f29"	"I can not believe I lied to my mother."	"I am shocked that I lied to my mother."	"replace: 'can not believe' -> 'am shocked that'"
"7841b62413b3710962222c1e3598c6eac8b36b2fda66c0d9060c7d4b87fe765a"	"I finally saw that one scary movie my friends were talking about. I can not sleep without the lights on."	"I finally saw that one scary movie my friends were talking about. I do not sleep without the lights on."	"replace: 'can' -> 'do'"
"513dc9d1589fd2e1a0a8ec497c1c0831667ead505a98e6bb288ac56731f7b102"	"I will stay with her forever."	"I stay with her forever."	"remove: 'will'"
"0b4da39c40e32035d8606cbf314c6a3da5d58568b61fe97da63f948b0798663d"	"He must of been crazy."	"He was crazy."	"replace: 'must of been' -> 'was'"
"96dac383269542bde0a89a2a5131dfd141f744ea8897e4c84336b45ac7d9c39e"	"Holy moly, that must have been a very depressing sight. Did the police end up finding the culprit?"	"Holy moly, that was a very depressing sight. Did the police end up finding the culprit?"	"replace: 'must have been' -> 'was'"
"e75c27932f91ef93e03412986ddade26ab9f5c768a5e0d550c983e94a7b8fc6e"	"I have not started looking yet. The kids are all going to be in school now and I can work outside the home though."	"I have not started looking yet. The kids are all in school now, and I work outside the home."	"remove: 'going to be'; replace: 'now' -> 'now,'; remove: 'can'; replace: 'home though.' -> 'home.'"
"d08528837af912d01fb52208895cd5b5299e54583f1549db3a6f7ed4d25f75f4"	"I could not find my debit card all week and I have finally given up. I think I have to get it replaced."	"I did not find my debit card all week and I have finally given up. I am getting it replaced."	"replace: 'could' -> 'did'; replace: 'think I have to get' -> 'am getting'"
"4c2bb7a43a22ab73191dbbe52803ad10fe31292b2c6d3ab651db16c314201086"	"They will find who did it."	"They found who did it."	"replace: 'will find' -> 'found'"
"e76a6f48f7b2e3225b81a7eca084bc309b1b2feda1b69f65a67a23fc5470814b"	"Yes, he can hardly walk now."	"Yes, he is barely able to walk now."	"replace: 'can hardly' -> 'is barely able to'"
"c9d5d650a382e25913ae294e113f239c1f2ea21a342476b8185c84200afc146f"	"Smart move- it is always a swell idea to get ahead of work so that we can do the things we want to do in life."	"Smart move- it is always a swell idea to get ahead of work so we do the things we want to do in life."	"remove: 'that'; remove: 'can'"
