sentence,entailment
"""France is conquering Belgium"" entails ""France is attacking Belgium""",1
"""France is conquering Belgium"" entails ""France was attacking Belgium""",0
"""France is conquering Belgium"" entails ""France has attacked Belgium""",0
"""France is conquering Belgium"" entails ""France had attacked Belgium""",0
"""France is conquering Belgium"" entails ""France will attack Belgium""",0
"""France is conquering Belgium"" entails ""France attacks Belgium""",1
"""France is conquering Belgium"" entails ""France attacked Belgium""",0
"""France was conquering Belgium"" entails ""France is attacking Belgium""",0
"""France was conquering Belgium"" entails ""France was attacking Belgium""",1
"""France was conquering Belgium"" entails ""France has attacked Belgium""",0
"""France was conquering Belgium"" entails ""France had attacked Belgium""",1
"""France was conquering Belgium"" entails ""France will attack Belgium""",0
"""France was conquering Belgium"" entails ""France attacks Belgium""",0
"""France was conquering Belgium"" entails ""France attacked Belgium""",1
"""France has conquered Belgium"" entails ""France is attacking Belgium""",0
"""France has conquered Belgium"" entails ""France was attacking Belgium""",1
"""France has conquered Belgium"" entails ""France has attacked Belgium""",1
"""France has conquered Belgium"" entails ""France had attacked Belgium""",1
"""France has conquered Belgium"" entails ""France will attack Belgium""",0
"""France has conquered Belgium"" entails ""France attacks Belgium""",0
"""France has conquered Belgium"" entails ""France attacked Belgium""",1
"""France had conquered Belgium"" entails ""France is attacking Belgium""",0
"""France had conquered Belgium"" entails ""France was attacking Belgium""",1
"""France had conquered Belgium"" entails ""France has attacked Belgium""",0
"""France had conquered Belgium"" entails ""France had attacked Belgium""",1
"""France had conquered Belgium"" entails ""France will attack Belgium""",0
"""France had conquered Belgium"" entails ""France attacks Belgium""",0
"""France had conquered Belgium"" entails ""France attacked Belgium""",1
"""France will conquer Belgium"" entails ""France is attacking Belgium""",0
"""France will conquer Belgium"" entails ""France was attacking Belgium""",0
"""France will conquer Belgium"" entails ""France has attacked Belgium""",0
"""France will conquer Belgium"" entails ""France had attacked Belgium""",0
"""France will conquer Belgium"" entails ""France will attack Belgium""",1
"""France will conquer Belgium"" entails ""France attacks Belgium""",0
"""France will conquer Belgium"" entails ""France attacked Belgium""",0
"""France conquers Belgium"" entails ""France is attacking Belgium""",1
"""France conquers Belgium"" entails ""France was attacking Belgium""",1
"""France conquers Belgium"" entails ""France has attacked Belgium""",0
"""France conquers Belgium"" entails ""France had attacked Belgium""",0
"""France conquers Belgium"" entails ""France will attack Belgium""",0
"""France conquers Belgium"" entails ""France attacks Belgium""",1
"""France conquers Belgium"" entails ""France attacked Belgium""",1
"""France conquered Belgium"" entails ""France is attacking Belgium""",0
"""France conquered Belgium"" entails ""France was attacking Belgium""",1
"""France conquered Belgium"" entails ""France has attacked Belgium""",0
"""France conquered Belgium"" entails ""France had attacked Belgium""",1
"""France conquered Belgium"" entails ""France will attack Belgium""",0
"""France conquered Belgium"" entails ""France attacks Belgium""",0
"""France conquered Belgium"" entails ""France attacked Belgium""",1
"""France is attacking Belgium"" entails ""France is conquering Belgium""",0
"""France is attacking Belgium"" entails ""France was conquering Belgium""",0
"""France is attacking Belgium"" entails ""France has conquered Belgium""",0
"""France is attacking Belgium"" entails ""France had conquered Belgium""",0
"""France is attacking Belgium"" entails ""France will conquer Belgium""",0
"""France is attacking Belgium"" entails ""France conquers Belgium""",0
"""France is attacking Belgium"" entails ""France conquered Belgium""",0
"""France was attacking Belgium"" entails ""France is conquering Belgium""",0
"""France was attacking Belgium"" entails ""France was conquering Belgium""",0
"""France was attacking Belgium"" entails ""France has conquered Belgium""",0
"""France was attacking Belgium"" entails ""France had conquered Belgium""",0
"""France was attacking Belgium"" entails ""France will conquer Belgium""",0
"""France was attacking Belgium"" entails ""France conquers Belgium""",0
"""France was attacking Belgium"" entails ""France conquered Belgium""",0
"""France has attacked Belgium"" entails ""France is conquering Belgium""",0
"""France has attacked Belgium"" entails ""France was conquering Belgium""",0
"""France has attacked Belgium"" entails ""France has conquered Belgium""",0
"""France has attacked Belgium"" entails ""France had conquered Belgium""",0
"""France has attacked Belgium"" entails ""France will conquer Belgium""",0
"""France has attacked Belgium"" entails ""France conquers Belgium""",0
"""France has attacked Belgium"" entails ""France conquered Belgium""",0
"""France had attacked Belgium"" entails ""France is conquering Belgium""",0
"""France had attacked Belgium"" entails ""France was conquering Belgium""",0
"""France had attacked Belgium"" entails ""France has conquered Belgium""",0
"""France had attacked Belgium"" entails ""France had conquered Belgium""",0
"""France had attacked Belgium"" entails ""France will conquer Belgium""",0
"""France had attacked Belgium"" entails ""France conquers Belgium""",0
"""France had attacked Belgium"" entails ""France conquered Belgium""",0
"""France will attack Belgium"" entails ""France is conquering Belgium""",0
"""France will attack Belgium"" entails ""France was conquering Belgium""",0
"""France will attack Belgium"" entails ""France has conquered Belgium""",0
"""France will attack Belgium"" entails ""France had conquered Belgium""",0
"""France will attack Belgium"" entails ""France will conquer Belgium""",0
"""France will attack Belgium"" entails ""France conquers Belgium""",0
"""France will attack Belgium"" entails ""France conquered Belgium""",0
"""France attacks Belgium"" entails ""France is conquering Belgium""",0
"""France attacks Belgium"" entails ""France was conquering Belgium""",0
"""France attacks Belgium"" entails ""France has conquered Belgium""",0
"""France attacks Belgium"" entails ""France had conquered Belgium""",0
"""France attacks Belgium"" entails ""France will conquer Belgium""",0
"""France attacks Belgium"" entails ""France conquers Belgium""",0
"""France attacks Belgium"" entails ""France conquered Belgium""",0
"""France attacked Belgium"" entails ""France is conquering Belgium""",0
"""France attacked Belgium"" entails ""France was conquering Belgium""",0
"""France attacked Belgium"" entails ""France has conquered Belgium""",0
"""France attacked Belgium"" entails ""France had conquered Belgium""",0
"""France attacked Belgium"" entails ""France will conquer Belgium""",0
"""France attacked Belgium"" entails ""France conquers Belgium""",0
"""France attacked Belgium"" entails ""France conquered Belgium""",0
"""Amazon is shipping the parcel"" entails ""Amazon is bundling the parcel""",0
"""Amazon is shipping the parcel"" entails ""Amazon was bundling the parcel""",1
"""Amazon is shipping the parcel"" entails ""Amazon has bundled the parcel""",1
"""Amazon is shipping the parcel"" entails ""Amazon had bundled the parcel""",0
"""Amazon is shipping the parcel"" entails ""Amazon will bundle the parcel""",0
