EID,Original_Sentence,Edited_Sentence
d8daa272d6c956e2059a586c981e08bfebef2be23f49d80c0b6d6eb9b06e8c21,Hello buddy! So you know when you have just ace'd all the final exams and you can just enjoy your time off with out worrying?,Hello buddy! So you know when you have just aced all the final exams and you just enjoy your time off without worrying?
85da8eacfd935e3d290a45f78d14f1503fbe81708d692545901610479fb84933,I can not believe what happened today.,I do not believe what happened today.
2333359902198db80c80edf2ce552cc8c93bde5dc6639ef84c557c84fd5e1c5a,I am just hoping he can continue with the good grades as he progresses up. I have confidence in him,I just want him to continue with the good grades as he progresses up. I have confidence in him
3d23240ae27412235c0fae03eeb53aef21204aea0b920e82b75267114e989b94,:) we have all being through the age. You will miss this stage when they finally grow to become adult,:) we have all been through this age. You miss this stage when they finally become adults.
28bed2211d9811efa9150551a473c44517d6471db3ec2d8975d471f6732c5f4b,Seems like almost every day now that I can have it delivered.,Almost every day now I have it delivered.
716fe18404f017ac9cea46d4cc8d4619f76a640768e250fcf1340976c2be8dd8,School is about to start. I can not wait,School is about to start. I am excited.
4af19a6ad00a4d951db088df534bfab69d521e4a46ff0aa51f5c54fe34a67b8f,So my friend surprised me with tickets to see my favorite band this Saturday. I thought it was sold out. I can not wait.,So my friend surprised me with tickets to see my favorite band this Saturday. I thought it was sold out. I am so excited.
26dab1c62d24bb739ff6ce65acd216bca8c7e9aaf81d5cb6da2a2693318d6ae5,I love Stephen King new show. I can not believe I Am not as afraid as I usually am.,I love Stephen King's new show. I am not as afraid as I usually am.
31bda8eb19f1d8078addaebb241e9e90bd229039562c8c5513033a398b3b0619,I do not have a gun! Or another person! Ah man... Guess I will just sleep in the bathroom with the door locked,I do not have a gun or another person! Ah man... I plan to sleep in the bathroom with the door locked.
ec0368e66b962bfa33d8cea02494a68b3283412752cc84fbde2762ca523704d0,I could not sleep last night at all,I did not sleep at all last night.
102a4651e67f296dcfb85f15f16513c0ced84a4f06dc73b68ba460c42b12161b,I do and that is the first thing I thought it could be.,I do and that is the first thing I thought it was.
61270cde9f6ef0ddbe94c9ec01c5414df55f9d26b4b645a77e2d5fe0d68c7cfc,You are right I will do that eventually. That is a good way to change my situation rather than sulking around.,You are right. I plan to do that later. That is a good way to change my situation rather than sulking around.
0501d5ce761e0c737bbd09f56ccd94f946f883a0099b59534b623bde3ca89aff,I ordered pants online that I thought would fit,I ordered pants online that I thought fit.
500ccf110d4e5ebacc9c364de42875fab908b63c5bd720a5b162fcaf737d099f,I can not believe my favorite restaurant was closed today. I was so upset.,I do not believe my favorite restaurant was closed today. I was so upset.
5002b0619556026614547807d2887700668f382286471eff615b8a8b857fd34e,He could have killed you!,He nearly killed you!
684b7fc6fef1091a882ed4f65e99cb50a0e8c1e15d84d2d14b2737d4717a7de0,That must of been no fun.,That was no fun.
af1db00cf8aa81b5c21f94754e09e16920dad963fdbb88b24d2f0a9372043f29,I can not believe I lied to my mother.,It is unbelievable that I lied to my mother.
7841b62413b3710962222c1e3598c6eac8b36b2fda66c0d9060c7d4b87fe765a,I finally saw that one scary movie my friends were talking about. I can not sleep without the lights on.,I finally saw that one scary movie my friends were talking about. I am unable to sleep without the lights on.
513dc9d1589fd2e1a0a8ec497c1c0831667ead505a98e6bb288ac56731f7b102,I will stay with her forever.,I stay with her forever.
0b4da39c40e32035d8606cbf314c6a3da5d58568b61fe97da63f948b0798663d,He must of been crazy.,He was crazy.
96dac383269542bde0a89a2a5131dfd141f744ea8897e4c84336b45ac7d9c39e,Holy moly,Holy moly
e75c27932f91ef93e03412986ddade26ab9f5c768a5e0d550c983e94a7b8fc6e,I have not started looking yet. The kids are all going to be in school now and I can work outside the home though.,"I have not started looking yet. The kids are all in school now and I am able to work outside the home, though."
d08528837af912d01fb52208895cd5b5299e54583f1549db3a6f7ed4d25f75f4,I could not find my debit card all week and I have finally given up. I think I have to get it replaced.,I did not find my debit card all week and I have finally given up. I am getting it replaced.
4c2bb7a43a22ab73191dbbe52803ad10fe31292b2c6d3ab651db16c314201086,They will find who did it.,They found who did it.
e76a6f48f7b2e3225b81a7eca084bc309b1b2feda1b69f65a67a23fc5470814b,Yes,Yes
c9d5d650a382e25913ae294e113f239c1f2ea21a342476b8185c84200afc146f,Smart move- it is always a swell idea to get ahead of work so that we can do the things we want to do in life.,Smart move- it is always a swell idea to get ahead of work so that we do the things we want to do in life.
513d9e3ee6a276aeaf6b03809d6ea57d7fd073124ea9deb3bce526cb3316bf2c,I really can not stand when people in customer service have attitudes.,I really hate when people in customer service have attitudes.
27abbd546808972c829618002449e804483cbd23ea9f615b98c514489a20578e,My bad! But I can not get that picture out of my head. The yellow juice was so powerful and the smell was even worse!!!!,My bad! But that picture remains in my head. The yellow juice was so powerful and the smell was even worse!!!!
b59392daeab78faa695b3df485a67947d8ddad585707f7f2a91eeac76ec96949,For the third time in two weeks someone at work has stolen my lunch and no one will admit it.,For the third time in two weeks someone at work has stolen my lunch and no one admits it.
ea5700a3ed982ee8726eb02d2bfe863afb7079c7d4068ff792f6ebcf0a9f0723,I will thanks for that piece of advice.,Thanks for that piece of advice.
c104e5f7b14ddccb3cc6024d5f59d367c41c54e2be42af5a09cd39ae73bd5f16,I will always cheer for the New York Jets.,I always cheer for the New York Jets.
efbd050fef0447c198fba722fde740f726d2881e0881234b6b0ecf8eb4ade237,Oh no,Oh no
64ba05b80999e1e51cc8f5d18ca90f1d94ece7a305c9e07b9fa1868412d832ac,That must be so frustrating.,That is so frustrating.
ab2fdd5f1640c34999e5fff1eaf07393aac609d5353e532d6d828479f6f9f62c,I think it will go well. My boss has been giving me really positive feedback lately.,I anticipate a positive outcome. My boss has been giving me really positive feedback lately.
62457d67294b8eb5b3553054ee31c8a01cf1e281ccb06030c7db7d798f7a927d,That is good. I can not imagine what some parents have to go through. No child deserves to be sick.,That is good. I do not know what some parents have to go through. No child deserves to be sick.
ef73efde94b66b60008e58f3caeb5e561209562fb4fd5acc1ba42fbeb8a7f897,Hopefully we can cure some of these things so no child has to go through it.,Curing some of these things prevents any child from going through it.
d58e03ef3e23cae3b6c19b0f139023f9fd81d24928218ffaef038cd3049b8402,Wow. Can she handle all of that?,Wow. She handles all of that.
e69e1ace2c76f93ab9f00085f25d74e536b93c6e9a7dfca704d359292d8aa0f5,I am sooo upset with my mom. I do not think at this point I can forgive her.,I am sooo upset with my mom. I do not forgive her at this point.
5cab078fad51e6d52e34594fa8a89d228f27fb28330e1c88c4659ad4bbba4c12,They should take down the posting if the job is taken.,They take down the posting if the job is taken.
39470719469694324796c5903dbebd232d1c344595559c3dc3e2cf40f3ef9274,I do too,I do too
d8123467549b45eef527281afddeb9c2c5e33e2e4a7f352aa07ed5ebcb6658bb,I can not stop thinking about my grandmother. She passed away recently and it hurts to think about.,I keep thinking about my grandmother. She passed away recently and it hurts to think about her.
16cf03a8bd18584b99d10a913a09bc0bba44d34d3d60abd80830c48b5ab6e0db,I Am sure it will get better with time. I used to see her everyday for lunch. I miss those times.,It gets better with time. I used to see her every day for lunch. I miss those times.
bd77efaf96e66e7b8430f92510eee6c31c27822dd6f9a333454185880975dcab,Oh no. That may ruin the walls.,Oh no. That ruins the walls.
e73d39ae2596d2edb1c5394fc50828435053cb41df54c03555529698d93e95d5,It was so fun,It was so fun
f1512476fc75ef931f5c08a09346c90bca0096fadb8a6a24e10dfd5da3012e7d,i wish he could make it,I want him to make it.
8357a9c38b57c430ecf860f2b2b3891fbe2fe20b63a09929906a76b6b570e506,It can be hard. I went through that myself.,It is hard. I went through that myself.
6fe29df86f329218f4082ffca576db63abbd9e48792d3f0c02827312d452c9aa,I had a great interview yesterday. I Am really nervous and can not stop thinking about it. I hope they get back to me soon.,I had a great interview yesterday. I am really nervous and keep thinking about it. I await their response soon.
bb7126653a3c15e5788c0c3433bfa35c03001389864043b51ba4a581165bfa5c,Yes,Yes
af36d967eff970aee9c37105e394a892e6cc0cad16a39ca8634370f646257872,It is always sad but there is little you can do other than keep them indoors where they are miserable. I am sure I am not the only one to suffer this kind of loss.,"It is always sad, but there is little to do other than keep them indoors where they are miserable. I am not the only one to suffer this kind of loss."
2578894454e1aebae3743884deeb6391e8287fc3cc20f666f5f67c75c6cd8b44,"I rescued a dog in the woods. Was scary! I was terrified for a moment as it was back in the woods where some sketchy people hang out at night and live- but I grabbed her from that rope and I hid her for a few days until I found a rescue. I was threatened too- Her owner"" was out DRINKING instead of feeding or watering her- She was so starved and could have died in the heat. Even though I was scared there was no way I was giving her back.","I rescued a dog in the woods. It was scary! I was terrified for a moment as she was back in the woods where some sketchy people hang out at night and live, but I grabbed her from that rope and I hid her for a few days until I found a rescue. I was threatened too. Her owner was out drinking instead of feeding or watering her. She was so starved and in danger of dying in the heat. Even though I was scared, there was no way I was giving her back."
c96b959bfc8c78f244d4db4d0615911d12be83e9a87080b66592937d4a78582e,Can not always afford too! I am glad I can for once.,I do not always have the money! I am glad I have it for once.
21aa2eaf5e8b1129244ef32bd8794bc21a211c65212f9c6913c0aa6caa89166a,I can understand that,I understand that.
0378b725a8c845f00be47b28b7d1518e8d7ed9a5c92a7beb7486a83204837e97,After the first team meeting under new management I felt very sure that i can depend on my team,"After the first team meeting under new management, I felt very sure about my team"
2eaa484b566efcf29fbdfcad62bb83eafd7ac2a16461999bb6eac9da573411df,It had girls with big boobs but well,"It had girls with big boobs, though."
5eec9619af22f4146e142af8526d2d2cd1a7cb36d341bf0ab5adcfe318909d89,I was driving the other day and a little turtle was in the road. I turned around and went back to get him before he got ran over and did not make it. Ugh. He got hit and smashed that fast before I could get him,I was driving the other day and a little turtle was in the road. I turned around and went back to get him before he was run over and did not make it. Ugh. He was hit and smashed that fast before I reached him.
9b8e83f02dd7035073e0fcdb9f0948db8dea741a5222b767227accc133360aae,That will be sad. Are you going to get to go again before then?,That is sad. Are you going again before then?
4828559171a6883c46afb31021f5a1919f7ebed1ed8753e1546dfe5d367f878e,I finally made reservations at the beach for next month for a family reunion. Can not wait to get away for awhile.,I finally made reservations at the beach for next month for a family reunion. I look forward to getting away for a while.
366efe5ec8c67b62dc00e9b5fb9e363cd1ebadd37eb55602d6684e583c1a7ccc,That is terrible. We should all count our blessings.,That is terrible. We all count our blessings.
e692d56dc1aefa18409c72467e1718bf1e25eaf150520f6b4003fd86f2810c0a,I can not believe I lied to my friend about being home the other day. I feel terrible,I am surprised I lied to my friend about being home the other day. I feel terrible
8826a5d9216eafde573cabbab5f63c8d30b1dd0eb20ea7569e13446d24b5cfaa,Does that still happen? I can relate... it was a relief to go on vacation and get away from them.,Does that still happen? I relate... it was a relief to go on vacation and get away from them.
