ID	EID	Completed	Modal_Verb	Original_Sentence	Marked_Sentence_English	Marked_Sentence_Japanese	Source_Modal	Annotation_Notes	Tested_Modal	Transformation_Strategy	Transformation_Category	Palmer_Annotations	Quirk_Annotations	Palmer_Expected	Quirk_Expected	Grammaticality_Expected
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	1	none	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and (have a feeling) this ticket is the winner.		will	explication, tense, multiple	none	none	none	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	epistemic	prediction	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_orig	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	1	will	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *will* win.		will	Original sentence from dataset. Modal: 'will'. Verified and complete.	will	original	original	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	epistemic	prediction	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_can	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	can	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *can* win.		will	Modal substitution: 'will' → 'can'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.	can	prediction_to_ability_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_could	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	could	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *could* win.		will	Modal substitution: 'will' → 'could'. Strategy: prediction_to_ability_substitution. Please verify grammaticality and classify modal categories.	could	prediction_to_ability_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_may	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	may	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *may* win.		will	Modal substitution: 'will' → 'may'. Strategy: prediction_to_permission_substitution. Please verify grammaticality and classify modal categories.	may	prediction_to_permission_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_might	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	might	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *might* win.		will	Modal substitution: 'will' → 'might'. Strategy: prediction_to_possibility. Please verify grammaticality and classify modal categories.	might	prediction_to_possibility	entailment	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	partial
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_must	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	must	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *must* win.		will	Modal substitution: 'will' → 'must'. Strategy: prediction_to_necessity_substitution. Please verify grammaticality and classify modal categories.	must	prediction_to_necessity_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_shall	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	shall	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *shall* win.		will	Modal substitution: 'will' → 'shall'. Strategy: prediction_to_obligation_substitution. Please verify grammaticality and classify modal categories.	shall	prediction_to_obligation_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_should	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	should	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *should* win.		will	Modal substitution: 'will' → 'should'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.	should	prediction_to_advice_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_would	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	would	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *would* win.		will	Modal substitution: 'will' → 'would'. Strategy: prediction_to_conditional_substitution. Please verify grammaticality and classify modal categories.	would	prediction_to_conditional_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908_alt_ought_to	8704fea2e2e6c4d9918a705fb5dc4de34eb3c1c658932587c96a352390945908	0	ought to	I bought a lottery ticket and have a feeling I will win.	I bought a lottery ticket and have a feeling I *ought to* win.		will	Modal substitution: 'will' → 'ought to'. Strategy: prediction_to_advice_substitution. Please verify grammaticality and classify modal categories.	ought to	prediction_to_advice_substitution	substitution	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""prediction"", ""prediction"", ""prediction""]"	unknown	unknown	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	1	none	That is really sweet of them. Must have been a big party.	That is really sweet of them. Was clearly a big party.		must	explication, tense, aspect	none	none	none	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	epistemic	necessity	yes
0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b_orig	0ebf0866f86b5644b478797181f14a626496a6044c38679878462523d3361c6b	1	must	That is really sweet of them. Must have been a big party.	That is really sweet of them. *Must* have been a big party.		must	Original sentence from dataset. Modal: 'must'. Verified and complete.	must	original	original	"[""epistemic"", ""epistemic"", ""epistemic""]"	"[""necessity"", ""necessity"", ""necessity""]"	epistemic	necessity	yes
